时间/h,药材半径/cm
43.46666667,1.20000000
43.48333333,1.20000000
43.50000000,1.20000000
43.51666667,1.20000000
43.53333333,1.20000000
43.55000000,1.20000000
43.56666667,1.20000000
43.58333333,1.20000000
43.60000000,1.20000000
43.61666667,1.20000000
43.63333333,1.20000000
43.65000000,1.20000000
43.66666667,1.20000000
43.68333333,1.20000000
43.70000000,1.20000000
43.71666667,1.20000000
43.73333333,1.20000000
43.75000000,1.20000000
43.76666667,1.20000000
43.78333333,1.20000000
43.80000000,1.20000000
43.81666667,1.20000000
43.83333333,1.20000000
43.85000000,1.20000000
43.86666667,1.20000000
43.88333333,1.20000000
43.90000000,1.20000000
43.91666667,1.20000000
43.93333333,1.20000000
43.95000000,1.20000000
43.96666667,1.20000000
43.98333333,1.20000000
44.00000000,1.20000000
44.01666667,1.20000000
44.03333333,1.20000000
44.05000000,1.20000000
44.06666667,1.20000000
44.08333333,1.20000000
44.10000000,1.20000000
44.11666667,1.20000000
44.13333333,1.20000000
44.15000000,1.20000000
44.16666667,1.20000000
44.18333333,1.20000000
44.20000000,1.20000000
44.21666667,1.20000000
44.23333333,1.20000000
44.25000000,1.20000000
44.26666667,1.20000000
44.28333333,1.20000000
44.30000000,1.20000000
44.31666667,1.20000000
44.33333333,1.20000000
44.35000000,1.20000000
44.36666667,1.20000000
44.38333333,1.20000000
44.40000000,1.20000000
44.41666667,1.20000000
44.43333333,1.20000000
44.45000000,1.20000000
44.46666667,1.20000000
44.48333333,1.20000000
44.50000000,1.20000000
44.51666667,1.20000000
44.53333333,1.20000000
44.55000000,1.20000000
44.56666667,1.20000000
44.58333333,1.20000000
44.60000000,1.20000000
44.61666667,1.20000000
44.63333333,1.20000000
44.65000000,1.20000000
44.66666667,1.20000000
44.68333333,1.20000000
44.70000000,1.20000000
44.71666667,1.20000000
44.73333333,1.20000000
44.75000000,1.20000000
44.76666667,1.20000000
44.78333333,1.20000000
44.80000000,1.20000000
44.81666667,1.20000000
44.83333333,1.20000000
44.85000000,1.20000000
44.86666667,1.20000000
44.88333333,1.20000000
44.90000000,1.20000000
44.91666667,1.20000000
44.93333333,1.20000000
44.95000000,1.20000000
44.96666667,1.20000000
44.98333333,1.20000000
45.00000000,1.20000000
45.01666667,1.20000000
45.03333333,1.20000000
45.05000000,1.20000000
45.06666667,1.20000000
45.08333333,1.20000000
45.10000000,1.20000000
45.11666667,1.20000000
45.13333333,1.20000000
45.15000000,1.20000000
45.16666667,1.20000000
45.18333333,1.20000000
45.20000000,1.20000000
45.21666667,1.20000000
45.23333333,1.20000000
45.25000000,1.20000000
45.26666667,1.20000000
45.28333333,1.20000000
45.30000000,1.20000000
45.31666667,1.20000000
45.33333333,1.20000000
45.35000000,1.20000000
45.36666667,1.20000000
45.38333333,1.20000000
45.40000000,1.20000000
45.41666667,1.20000000
45.43333333,1.20000000
45.45000000,1.20000000
45.46666667,1.20000000
45.48333333,1.20000000
45.50000000,1.20000000
45.51666667,1.20000000
45.53333333,1.20000000
45.55000000,1.20000000
45.56666667,1.20000000
45.58333333,1.20000000
45.60000000,1.20000000
45.61666667,1.20000000
45.63333333,1.20000000
45.65000000,1.20000000
45.66666667,1.20000000
45.68333333,1.20000000
45.70000000,1.20000000
45.71666667,1.20000000
45.73333333,1.20000000
45.75000000,1.20000000
45.76666667,1.20000000
45.78333333,1.20000000
45.80000000,1.20000000
45.81666667,1.20000000
45.83333333,1.20000000
45.85000000,1.20000000
45.86666667,1.20000000
45.88333333,1.20000000
45.90000000,1.20000000
45.91666667,1.20000000
45.93333333,1.20000000
45.95000000,1.20000000
45.96666667,1.20000000
45.98333333,1.20000000
46.00000000,1.20000000
46.01666667,1.20000000
46.03333333,1.20000000
46.05000000,1.20000000
46.06666667,1.20000000
46.08333333,1.20000000
46.10000000,1.20000000
46.11666667,1.20000000
46.13333333,1.20000000
46.15000000,1.20000000
46.16666667,1.20000000
46.18333333,1.20000000
46.20000000,1.20000000
46.21666667,1.20000000
46.23333333,1.20000000
46.25000000,1.20000000
46.26666667,1.20000000
46.28333333,1.20000000
46.30000000,1.20000000
46.31666667,1.20000000
46.33333333,1.20000000
46.35000000,1.20000000
46.36666667,1.20000000
46.38333333,1.20000000
46.40000000,1.20000000
46.41666667,1.20000000
46.43333333,1.20000000
46.45000000,1.20000000
46.46666667,1.20000000
46.48333333,1.20000000
46.50000000,1.20000000
46.51666667,1.20000000
46.53333333,1.20000000
46.55000000,1.20000000
46.56666667,1.20000000
46.58333333,1.20000000
46.60000000,1.20000000
46.61666667,1.20000000
46.63333333,1.20000000
46.65000000,1.20000000
46.66666667,1.20000000
46.68333333,1.20000000
